epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,43011.8,1.20465,0.83591,1.32233,0.69226,0.81933,0.76983,0.50744,1.27302,0.77641,1.41078,0.003565,0.003565,0.003565
67,43663.2,1.19669,0.83133,1.31835,0.69251,0.82,0.77063,0.508,1.27194,0.77479,1.40965,0.003466,0.003466,0.003466
68,44311.3,1.19418,0.83154,1.31506,0.69765,0.81655,0.77071,0.50879,1.27084,0.77275,1.40849,0.003367,0.003367,0.003367
69,44962.1,1.1869,0.83133,1.31543,0.6981,0.81672,0.77145,0.50967,1.26963,0.77061,1.40728,0.003268,0.003268,0.003268
70,45612.7,1.18281,0.8224,1.30983,0.69807,0.81863,0.772,0.51044,1.26853,0.76838,1.40604,0.003169,0.003169,0.003169
71,46263.8,1.18469,0.82134,1.31067,0.69964,0.81856,0.77278,0.51153,1.26751,0.76653,1.40503,0.00307,0.00307,0.00307
72,46914.3,1.17397,0.80893,1.30249,0.70012,0.81976,0.77327,0.51224,1.26665,0.76486,1.40402,0.002971,0.002971,0.002971
73,47564,1.17159,0.80628,1.301,0.70073,0.81913,0.77376,0.51297,1.26567,0.76324,1.40302,0.002872,0.002872,0.002872
74,48214.5,1.16643,0.80355,1.29853,0.70477,0.81679,0.77438,0.5138,1.26463,0.76178,1.40196,0.002773,0.002773,0.002773
75,48862.7,1.161,0.7965,1.29558,0.70605,0.8165,0.7747,0.51453,1.26371,0.76029,1.40082,0.002674,0.002674,0.002674
76,49512.5,1.15622,0.79274,1.29233,0.70707,0.81733,0.77538,0.51525,1.26267,0.75876,1.39961,0.002575,0.002575,0.002575
77,50164.2,1.15542,0.78913,1.28958,0.70951,0.81607,0.77591,0.51584,1.26177,0.75744,1.3985,0.002476,0.002476,0.002476
